,Tag,Key,Value,Units,Type,Allowed Values,Sensitivity Parameters,Coupled,Description,Active,Sensitivity Analysis,Options/Notes
26,Finance,yearly_data_filename,.\test\datasets\000-001-yearly.csv,,string,,,None,,.,no,
27,Finance,external_incentives,0,,bool,"{0,1}",,None,,.,no,
28,Finance,customer_tariff_filename,./test/datasets/000-001-tariff.csv,,string,,,None,,.,no,
29,Finance,analysis_horizon_mode,1,,int,"{1,2,3,4}",,None,"Defines when/how to end CBA analysis, 1=user defined analysis horizon, 2=auto calculate analysis horizon based on shortest equipement life, 3=auto calculate analysis horizon based on longest equipement life, 4=use carrying cost",.,no,
30,Finance,federal_tax_rate,3,%/year,float,"[0, 100]",,None,Federal tax rate for use in the financial analysis,.,no,
31,Finance,state_tax_rate,3,%/year,float,"[0, 100]",,None,state tax rate for use in the financial analysis,.,no,
32,Finance,property_tax_rate,3,%/year,float,"[0, 100]",,None,property tax rate for use in the financial analysis,.,no,
33,Battery,name,2MW-5hr,,string,,,None,User defined name specific to this tag,yes,no,
34,Battery,startup_time,0,,int,,,None, ,.,no,
35,Battery,ccost,0,$,float,"[0, ccost)",,None,Capital Cost,.,no,
36,Battery,ccost_kw,100,$/kW,float,"[0, ccost_kw)",,None,Capital Cost in $/kW of storage discharge power capacity,.,no,
37,Battery,ccost_kwh,800,$/kWh,float,"[0, ccost_kwh)",,None,Capital Cost in $/kWh of storage Energy capacity,.,no,
38,Battery,nsr_response_time,0,,int,,,None, ,.,no,
39,Battery,sr_response_time,0,,int,,,None, ,.,no,
40,Battery,startup,0,,bool,"{0,1}",,None,T of F to include startup cost in the dispatch optimization,.,no,
41,Battery,fixedOM,10,$/kW-yr,float,"[0, fixedOM)",,None,Fixed Operation and Maintenace Costs per kW of storage discharge power capacity,.,no,
42,Battery,OMexpenses,1,$/MWh,float,"[0, Omexpenses)",,None,Variable Operation and Maintenance Costs per MWh of energy delivered by storage system,.,no,
43,Battery,ch_max_rated,500,kW,float,"[0, ch_max_rated)",,None,Energy Storage Charge Capacity,.,no,
44,Battery,dis_max_rated,500,kW,float,"[0, dis_max_rated)",,None,Energy Storage Discharge Capacity,.,no,
45,Battery,ch_min_rated,0,kW,float,"[0, ch_min_rated)",,None,Energy Storage Charge Capacity,.,no,
46,Battery,dis_min_rated,0,kW,float,"[0, dis_min_rated)",,None,Energy Storage Discharge Capacity,.,no,
47,Battery,ene_max_rated,10000,kWh,float,"[0, ene_max_rated)",,None,Energy Storage Energy Capacity,.,no,
48,Battery,duration_max,0,hr,float,"[0, hr)",,None,Energy Storage duration maximum (set to 0 to abstain from applying),.,no,
49,Battery,ulsoc,100,%,float,"[0, 100] (must be more than llsoc)",,None,Energy Storage SOC Upper Bound,.,no,
50,Battery,llsoc,20,%,float,"[0, 100] (must be less than ulsoc)",,None,Energy Storage SOC Lower Bound,.,no,
51,Battery,rte,85,%,float,"[0, 100] ",,None,Energy Storage Round Trip Efficiency,.,no,
52,Battery,sdr,0,%/hr,float,"[0, 99]",,None,Energy Storage Self-Discharge Rate,.,no,
53,Battery,construction_year,2017,year,Period,,,None,Construction Date of the System,.,no,
54,Battery,operation_year,2017,year,Period,,,None,Operation Date of the System,.,no,
55,Battery,soc_target,50,%,float,"[0, 100] ",,None,The SOC the storage system will return to after every optimization window,.,no,
56,Battery,yearly_degrade,0,,int,"[0, 100] ",,None,% degradation per year. This calendar degradation combines with cycling degradation to get total degradation.,.,no,
57,Battery,incl_cycle_degrade,0,,bool,"{0,1}",,None,T or F to include degradation per year,.,no,
58,Battery,cycle_life_filename,./test/datasets/000-001-cycle.csv,,string,,,None, ,.,no,
59,Battery,p_start_ch,0,$,float,"[0, p_start_ch)",,None,Startup cost to start charging,.,no,
60,Battery,p_start_dis,0,$,float,"[0, p_start_dis)",,None,Startup cost to start discharging,.,no,
61,Battery,daily_cycle_limit,0,,float,,,None,Limit on the daily total discharge and ene throughput,.,no,
62,Battery,hp,100,kW,float,"[0, hp)",,None,Housekeeping power for Auxiliary load,.,no,
63,Battery,macrs_term,3,,float,"{3,5,7,10,15,20,25,27.5,39}",,None,modified accelerated cost recovery system (MACRS) depreciation term,.,no,
64,Battery,expected_lifetime,14,years,int,,,None,The estimated number of years this DER is expected to be operational,.,no,
65,Battery,replaceable,0,y/n,bool,"{0,1}",,None,T or F to indicate whether this DER is replaceable or not at its end of life,.,no,
66,Battery,decommissioning_cost,0,$,float,,,None,The cost to decommission this DER when it has reached it's expected lifetime's end,.,no,
67,Battery,salvage_value,0,,float,,,None,"Applies a financial benefit in the last year of the analysis window if the technology is not beyond its end of life. options: ""sunk cost"" meaning that there is no end of analysis value (salvage value = 0), ""linear salvage value"" which will calculate salvage value by multiplying the technology's capital cost by (remaining life/total life), or simply input a $ value to specify the salvage value of the technology.",.,no,
68,Battery,rcost,0,$,float,"[0, ccost)",,None,Replacement Cost,.,no,
69,Battery,rcost_kW,100,$/kW,float,"[0, ccost_kw)",,None,Replacement Cost in $/kW of storage discharge power capacity,.,no,
70,Battery,rcost_kWh,800,$/kWh,float,"[0, ccost_kwh)",,None,Replacement Cost in $/kWh of storage Energy capacity,.,no,
71,Battery,user_ch_rated_max,0,kW,float,"[0, user_ch_rated_max)",,None,User constraint on this battery size parameter,.,no,
72,Battery,user_ch_rated_min,0,kW,float,"[0, user_ch_rated_min)",,None,User constraint on this battery size parameter,.,no,
73,Battery,user_dis_rated_max,0,kW,float,"[0, user_dis_rated_max)",,None,User constraint on this battery size parameter,.,no,
74,Battery,user_dis_rated_min,0,kW,float,"[0, user_dis_rated_min)",,None,User constraint on this battery size parameter,.,no,
75,Battery,user_ene_rated_max,0,kWh,float,"[0, user_ene_rated_max)",,None,User constraint on this battery size parameter,.,no,
76,Battery,user_ene_rated_min,0,kWh,float,"[0, user_ene_rated_min)",,None,User constraint on this battery size parameter,.,no,
77,Battery,incl_ts_discharge_limits,0,,bool,"{0,1}",,None,T of F to indicate whether or not to look for and apply timeseries constraints on the instance's discharge power,.,no,
78,Battery,incl_ts_charge_limits,0,,bool,"{0,1}",,None,T of F to indicate whether or not to look for and apply timeseries constraints on the instance's charge power,.,no,
79,Battery,incl_ts_energy_limits,0,,bool,"{0,1}",,None,T of F to indicate whether or not to look for and apply timeseries constraints on the instance's SOE,.,no,
80,Battery,acr,10,%,float,"[0, 100] ",,,"annual charge rate (ACR), the % of capital cost that is incurred each year",.,no,
81,Battery,ter,7,%,float,"[0, 100] ",,,technology escalation rate: how quickly the technology increases/decreases in cost,.,no,
82,DA,growth,0,%/yr,float,"[0, 100]",,None,Growth Rate of day ahead energy prices,yes,no,
83,Scenario,incl_thermal_load,0,y/n,bool,"{0,1}",,None,Flag to include one or more thermal site load time series in the thermal heating and/or cooling energy balance constraint (IF SET TO ONE THERE MUST BE AN ACTIVE THERMAL SOURCE TECHNOLOGY),.,no,
84,Battery,ecc%,0,%,float,"[0, 100] ",,,the economic carrying cost percent,.,no,
85,Battery,state_of_health,73,%,float,,,,State of heath at end of life (percentage of original energy capacity that will tigger a replacement of the equipement),.,no,
86,Battery,replacement_construction_time,1,years,int,"[1, inf)",,None,"The time, in years, it takes finish DER equipement replacement construction",.,no,
87,Finance,ecc_mode,0,y/n,bool,"{0,1}",,None,Setting to TRUE will tell the cost benefit analysis to do the Economic Carrying Cost of your DERs,.,no,
88,Battery,cycle_life_table_eol_condition,80,%,int,"[0, 100] ",,None,End of life condition used to make the cycle_life input table.,.,no,
89,DR,days,10,days,int,"[0, 366] (or 365 in non-leap-years)",,None,Number of DR events per year,yes,no,
90,DR,length,4,hours,string/int,"[0, 24]",,None,"Length of a DR event (leave this value blank, or as 'nan', if you want to define DR events by the end time instead)",.,no,
91,DR,weekend,0,y/n,bool,"{0,1}",,None,DR program active on weekends,.,no,
92,DR,program_start_hour,11,hour,int,"[0, 24] (must be before program_end_hour)",,None,Hour beginning start of DR period,.,no,
93,DR,program_end_hour,,hour,string/int,"[0, 24] (must be after program_start_hour)",,None,"Hour ending end of DR period (leave this value blank, or as 'nan', if you want to define DR events by the length instead)",.,no,
94,DR,day_ahead,1,y/n,bool,"{0,1}",,None,DR programs are either scheduled the day of or a day ahead,.,no,
95,DR,growth,0,%/yr,float,"[0, 100]",,None,Growth rate of Demand Response capacity rate,.,no,
